,wt_fe2_1,wt_fe2_2,wt_dpd_1,wt_dpd_2,delfur_fe2_1,delfur_fe2_2,delfur_dpd_1,delfur_dpd_2
b1378,3164,2606,7692,7357,2822,2547,5702,5228
b1379,135,123,617,630,193,171,763,901
b1380,110,102,835,569,204,221,1150,942
b1381,519,435,612,539,451,460,554,615
b1382,3,4,0,1,2,3,1,0
b1383,95,64,67,56,76,89,101,110
b1384,125,95,121,93,126,125,125,137
b1385,221,177,543,497,252,244,511,518
b1386,75,80,157,122,99,72,109,118
b1387,23,22,46,55,39,30,35,34
b1388,11,8,15,8,47,27,10,10
b1389,2,5,2,2,5,5,6,3
b1390,11,5,19,8,25,17,10,15
b1391,9,7,19,10,9,12,12,6
b1392,15,9,38,79,28,27,41,45
b1393,10,7,24,27,22,26,13,18
b1394,7,4,22,13,9,4,10,9
b1395,21,33,68,61,39,27,47,55
b1396,4,7,18,19,6,9,16,16
b1397,132,113,209,221,107,114,206,196
b1398,151,107,251,266,134,106,197,225
b1399,304,211,494,421,230,239,450,504
b1400,271,228,394,384,205,224,422,401
b1402,296,279,713,739,317,324,761,786
b1403,194,162,358,346,223,230,354,369
b1404,18,12,57,39,15,18,39,39
b1406,225,165,785,724,263,281,792,710
b1407,36,29,51,37,64,57,63,58
b1408,2,3,6,3,3,3,2,2
b1409,1,0,3,0,2,2,0,1
b1410,61,51,87,66,74,64,78,74
b1411,83,53,105,93,85,90,90,100
b1412,601,447,912,675,597,513,858,825
b1413,2235,1858,5158,4795,2431,2148,4366,4034
b1414,659,578,1380,1301,937,814,1254,1223
b1415,3599,3258,703,515,3524,3369,1136,1442
b1418,1431,1195,508,431,1261,1165,630,600
b1419,216,161,63,50,162,119,101,81
b1420,44,37,34,43,23,18,37,57
b1421,85,78,162,128,89,107,156,141
b1422,1785,1368,1251,1187,1591,1492,1419,1424
b1423,128,122,349,290,169,183,297,274
b1424,1386,1175,911,917,1461,1387,1021,1007
b1426,136,123,38,17,123,113,48,30
b1427,224,213,303,308,219,263,329,376
b1428,250,201,1338,1358,317,344,1234,1168
b1429,144,117,752,654,173,190,556,390
b1430,486,448,2583,2106,525,482,1775,1610
b1431,960,933,4159,3150,1053,981,3676,2578
b1432,643,543,586,562,663,668,676,740
b1433,85,95,101,97,159,140,91,75
b1434,150,139,89,107,184,142,74,69
b1435,1503,1317,592,579,1141,1068,630,697
b1436,12,10,31,23,12,13,18,20
b1438,139,133,229,209,175,187,200,225
b1439,436,326,502,459,438,396,475,442
b1440,189,185,400,347,276,324,530,541
b1441,44,40,110,108,82,79,164,181
