,wt_fe2_1,wt_fe2_2,wt_dpd_1,wt_dpd_2,delfur_fe2_1,delfur_fe2_2,delfur_dpd_1,delfur_dpd_2
b3241,104,60,94,187,92,112,204,210
b3242,18,7,9,14,14,13,13,10
b3243,997,771,845,1293,938,955,1453,1384
b3244,3478,3041,3958,7162,3420,3291,6287,6796
b3247,4076,3167,2157,3836,3834,3593,4406,4098
b3248,1536,1215,950,2400,1486,1379,2253,2898
b3249,968,758,174,688,806,760,799,900
b3250,3197,2553,735,1818,2569,2573,2372,2767
b3251,9670,7802,5045,8424,9124,8911,11158,11323
b3252,1443,1163,982,1592,1622,1527,2118,2219
b3253,910,769,1375,2568,1085,1087,2059,2186
b3255,10361,9072,3351,6487,8825,7881,7162,9279
b3256,18790,16105,5145,9112,14590,14520,12593,13962
b3257,111,107,16,46,93,85,48,61
b3258,697,593,258,787,627,540,712,802
b3259,1722,1421,955,2115,1586,1482,1790,1829
b3260,14104,12004,1702,3713,10513,9812,4841,6737
b3261,7193,5881,454,1036,5164,4570,1677,2059
b3262,144,115,25,46,113,133,65,45
b3263,81,50,16,20,46,53,8,23
b3264,9,5,4,1,11,1,12,4
b3265,17,6,2,11,10,20,10,13
b3266,246,153,154,284,239,232,271,240
b3267,73,56,57,68,38,36,58,78
b3268,366,298,104,179,151,137,252,215
b3269,40,34,19,29,35,47,43,57
b3270,34,24,16,73,47,33,43,74
b3271,134,92,67,129,123,118,127,116
b3279,2210,1882,805,1369,2358,2091,1655,1932
b3280,226,152,77,240,132,145,201,258
b3281,757,576,350,1118,556,606,903,1110
b3282,952,653,351,1314,697,720,1175,1240
b3283,2173,1558,1009,3518,2053,2054,2811,3390
b3284,2540,1976,1192,4892,2350,2218,4215,4574
b3287,3461,2757,2489,5105,3276,3152,5103,4832
b3288,3873,3379,2681,6202,3730,3674,5818,5679
